epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,12309.6,1.25335,0.71379,1.07647,0.82689,0.7832,0.84096,0.55573,1.09357,0.6092,0.98417,0.0004357,0.0004357,0.0004357
59,12515.5,1.24892,0.70913,1.07231,0.80435,0.79835,0.8391,0.55598,1.08787,0.60108,0.98163,0.0004258,0.0004258,0.0004258
60,12730.8,1.24171,0.70458,1.06799,0.82528,0.77724,0.83869,0.55213,1.07727,0.59907,0.97852,0.0004159,0.0004159,0.0004159
61,12953.1,1.25073,0.70785,1.07136,0.80859,0.78865,0.83598,0.55074,1.0888,0.60117,0.97991,0.000406,0.000406,0.000406
62,13167.3,1.24521,0.70621,1.07136,0.82839,0.77406,0.84414,0.5591,1.07325,0.59382,0.97478,0.0003961,0.0003961,0.0003961
63,13372.2,1.24255,0.70534,1.06928,0.79066,0.80869,0.83686,0.55606,1.07153,0.59236,0.97474,0.0003862,0.0003862,0.0003862
64,13598.8,1.23826,0.70221,1.06583,0.86118,0.74248,0.84175,0.55855,1.07542,0.59813,0.97574,0.0003763,0.0003763,0.0003763
65,13828.3,1.23735,0.70528,1.0683,0.83724,0.76885,0.83994,0.56049,1.08213,0.59743,0.97815,0.0003664,0.0003664,0.0003664
66,14037.5,1.23634,0.69845,1.06699,0.83174,0.76855,0.84181,0.56277,1.07189,0.59168,0.97737,0.0003565,0.0003565,0.0003565
67,14258.3,1.23423,0.69654,1.0661,0.84173,0.76962,0.84307,0.56479,1.067,0.59309,0.97562,0.0003466,0.0003466,0.0003466
68,14483.4,1.23378,0.69544,1.06371,0.81029,0.77693,0.8383,0.55626,1.07899,0.5938,0.97771,0.0003367,0.0003367,0.0003367
69,14705.7,1.22464,0.69377,1.06349,0.85117,0.75704,0.8473,0.56561,1.07234,0.59069,0.97573,0.0003268,0.0003268,0.0003268
70,14919.7,1.22393,0.69261,1.06271,0.82981,0.76346,0.84392,0.56234,1.07113,0.58776,0.97609,0.0003169,0.0003169,0.0003169
71,15139.1,1.2262,0.69491,1.0628,0.8303,0.78357,0.84733,0.56459,1.06797,0.58565,0.97473,0.000307,0.000307,0.000307
72,15356.8,1.22438,0.68743,1.06016,0.8169,0.788,0.84586,0.56389,1.07242,0.58652,0.97593,0.0002971,0.0002971,0.0002971
73,15569.9,1.22458,0.68773,1.06199,0.83432,0.77513,0.8464,0.56758,1.06555,0.58363,0.9725,0.0002872,0.0002872,0.0002872
74,15789.5,1.21245,0.68223,1.05762,0.80337,0.80063,0.84659,0.56748,1.06348,0.58467,0.97313,0.0002773,0.0002773,0.0002773
75,16018.4,1.22453,0.68923,1.06099,0.84107,0.77015,0.83986,0.56409,1.06411,0.58863,0.97391,0.0002674,0.0002674,0.0002674
76,16225.4,1.21913,0.68771,1.06026,0.84411,0.76796,0.84242,0.56493,1.06404,0.58723,0.97427,0.0002575,0.0002575,0.0002575
77,16430.5,1.21353,0.68419,1.05664,0.81638,0.79354,0.84276,0.56413,1.06551,0.58729,0.97558,0.0002476,0.0002476,0.0002476
78,16640.6,1.21633,0.68323,1.05545,0.83714,0.78484,0.84646,0.56629,1.06386,0.58295,0.97367,0.0002377,0.0002377,0.0002377
79,16844.9,1.21456,0.68384,1.05644,0.84687,0.7736,0.84457,0.56644,1.06422,0.58439,0.97399,0.0002278,0.0002278,0.0002278
80,17052.3,1.20927,0.68038,1.05615,0.83716,0.77545,0.84222,0.56746,1.05942,0.58207,0.97174,0.0002179,0.0002179,0.0002179
81,17259.1,1.20918,0.67716,1.05393,0.81644,0.78456,0.84309,0.56476,1.06651,0.58457,0.97323,0.000208,0.000208,0.000208
82,17471.7,1.20177,0.67633,1.05286,0.82195,0.77911,0.83864,0.56418,1.06563,0.58494,0.97396,0.0001981,0.0001981,0.0001981
83,17677.3,1.19973,0.6733,1.05191,0.83082,0.78388,0.84251,0.56396,1.06679,0.58267,0.97359,0.0001882,0.0001882,0.0001882
84,17884.3,1.20176,0.67343,1.04996,0.84055,0.77085,0.83931,0.56151,1.06562,0.58319,0.97332,0.0001783,0.0001783,0.0001783
85,18104.3,1.19887,0.66683,1.05071,0.81004,0.79951,0.84243,0.56185,1.0655,0.582,0.97317,0.0001684,0.0001684,0.0001684
86,18321.6,1.19825,0.6695,1.05025,0.84568,0.76839,0.84478,0.56552,1.06426,0.58264,0.97219,0.0001585,0.0001585,0.0001585
87,18538.4,1.19968,0.67371,1.05135,0.8144,0.79204,0.84525,0.56566,1.0658,0.58317,0.97279,0.0001486,0.0001486,0.0001486
88,18790.1,1.19331,0.66706,1.05088,0.81774,0.7891,0.8457,0.56496,1.06537,0.58227,0.97203,0.0001387,0.0001387,0.0001387
89,19008.8,1.19141,0.6682,1.04843,0.81903,0.79052,0.84295,0.56489,1.06247,0.58105,0.97215,0.0001288,0.0001288,0.0001288
90,19224.4,1.19309,0.66584,1.04952,0.8286,0.78882,0.84224,0.55997,1.06582,0.58288,0.9725,0.0001189,0.0001189,0.0001189
91,19501.2,1.17081,0.62657,1.04616,0.82761,0.79223,0.84115,0.56009,1.06653,0.5819,0.97292,0.000109,0.000109,0.000109
92,19716.3,1.15924,0.61996,1.03938,0.83327,0.77945,0.83989,0.56129,1.06063,0.57959,0.97081,9.91e-05,9.91e-05,9.91e-05
93,19938.6,1.15846,0.6176,1.03894,0.82352,0.79043,0.83966,0.55906,1.06114,0.58061,0.97083,8.92e-05,8.92e-05,8.92e-05
