epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,17396.4,0.94805,0.65039,1.02676,0.81701,0.64103,0.72733,0.45025,1.35128,0.8899,1.19276,0.000132031,0.000132031,0.000132031
70,17648.4,0.94076,0.6454,1.02475,0.80029,0.64688,0.72471,0.45048,1.35108,0.89131,1.18935,0.000121722,0.000121722,0.000121722
71,17935.6,0.91392,0.57354,1.00299,0.79749,0.65182,0.72967,0.44913,1.35961,0.89455,1.19275,0.000111414,0.000111414,0.000111414
72,18182.9,0.89754,0.56304,0.99605,0.81996,0.64146,0.72798,0.44775,1.35741,0.88889,1.19448,0.000101105,0.000101105,0.000101105
73,18430.1,0.88954,0.55553,0.98959,0.811,0.63755,0.72723,0.44544,1.36352,0.8905,1.19479,9.0797e-05,9.0797e-05,9.0797e-05
74,18678.6,0.88245,0.55158,0.9873,0.817,0.63205,0.72464,0.44544,1.35991,0.8889,1.19303,8.04886e-05,8.04886e-05,8.04886e-05
75,18927,0.88171,0.55098,0.98868,0.81802,0.62661,0.72383,0.44455,1.35833,0.89021,1.19058,7.01802e-05,7.01802e-05,7.01802e-05
76,19175.7,0.87363,0.54513,0.98574,0.80359,0.63658,0.72285,0.44461,1.35687,0.88749,1.19141,5.98719e-05,5.98719e-05,5.98719e-05
77,19424.7,0.87097,0.54203,0.98336,0.79708,0.63735,0.72311,0.4443,1.35765,0.88761,1.19329,4.95635e-05,4.95635e-05,4.95635e-05
78,19675,0.86344,0.53726,0.9801,0.79885,0.64145,0.72411,0.44519,1.35839,0.88914,1.19376,3.92551e-05,3.92551e-05,3.92551e-05
79,19925.7,0.85904,0.53353,0.97681,0.80635,0.63746,0.72291,0.44546,1.35677,0.88701,1.19437,2.89468e-05,2.89468e-05,2.89468e-05
80,20177.6,0.85708,0.53149,0.97742,0.80971,0.63588,0.72269,0.44516,1.35872,0.88715,1.19657,1.86384e-05,1.86384e-05,1.86384e-05
